Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1320       3878       0          3354       2.94
structure_refs      200        55         0          6          0.28
biomes              200        30         0          4          0.15
terrain             200        435        0          36         2.18
surface             200        277        0          42         1.39
air_carvers         200        1767       3          158        8.84
fluid_carvers       200        13         0          1          0.07
decoration          96         4283       10         140        44.61
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             60.44
