Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2448       6353       0          2978       2.60
structure_refs      790        143        0          4          0.18
biomes              790        421        0          362        0.53
terrain             769        927        0          30         1.21
surface             769        506        0          19         0.66
air_carvers         769        4813       3          125        6.26
fluid_carvers       764        21         0          0          0.03
decoration          639        31172      34         253        48.78
mob_spawns          530        73         0          19         0.14
structure_searches  0          0          0          0          0.00
Sum                                                             60.38
