Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2973       4493       0          2774       1.51
structure_refs      1223       281        0          13         0.23
biomes              1223       3568       0          382        2.92
terrain             1223       1979       0          47         1.62
surface             1223       874        0          49         0.71
air_carvers         1223       13023      3          89         10.65
fluid_carvers       1223       27         0          0          0.02
decoration          1052       98595      51         269        93.72
mob_spawns          901        185        0          70         0.21
structure_searches  0          0          0          0          0.00
Sum                                                             111.59
