Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    956        4090       0          3810       4.28
structure_refs      90         34         0          1          0.38
biomes              90         24         0          5          0.27
terrain             90         278        1          63         3.09
surface             90         139        0          20         1.54
air_carvers         90         1348       5          164        14.98
fluid_carvers       90         8          0          0          0.09
decoration          40         5545       76         364        138.63
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             163.25
