Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        4865       0          4653       10.33
structure_refs      69         71         0          15         1.03
biomes              69         126        0          110        1.83
terrain             69         300        1          45         4.35
surface             69         92         0          16         1.33
air_carvers         69         1397       13         148        20.25
fluid_carvers       69         4          0          0          0.06
decoration          33         3975       74         299        120.45
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             159.62
