Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1002       3330       0          3197       3.32
structure_refs      137        59         0          11         0.43
biomes              137        409        0          378        2.99
terrain             137        382        0          49         2.79
surface             137        209        0          35         1.53
air_carvers         137        1578       3          147        11.52
fluid_carvers       137        10         0          0          0.07
decoration          65         3726       22         228        57.32
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             79.97
