Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        4146       0          3906       8.80
structure_refs      69         53         0          7          0.77
biomes              69         244        0          225        3.54
terrain             69         241        0          39         3.49
surface             69         155        0          20         2.25
air_carvers         69         938        9          97         13.59
fluid_carvers       69         4          0          0          0.06
decoration          33         3438       58         227        104.18
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             136.68
