Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3093       2934       0          1671       0.95
structure_refs      1285       164        0          5          0.13
biomes              1285       277        0          142        0.22
terrain             1285       1002       0          12         0.78
surface             1285       424        0          5          0.33
air_carvers         1285       4177       1          53         3.25
fluid_carvers       1285       14         0          0          0.01
decoration          1131       35156      6          137        31.08
mob_spawns          993        87         0          13         0.09
structure_searches  0          0          0          0          0.00
Sum                                                             36.83
