Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    10434      7548       0          2661       0.72
structure_refs      4978       934        0          22         0.19
biomes              4977       12273      0          508        2.47
terrain             4974       9178       0          175        1.85
surface             4972       3262       0          22         0.66
air_carvers         4971       29145      2          124        5.86
fluid_carvers       4971       90         0          0          0.02
decoration          4381       602668     14         392        137.56
mob_spawns          3814       191        0          38         0.05
structure_searches  0          0          0          0          0.00
Sum                                                             149.37
