Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4547       5167       0          2808       1.14
structure_refs      2065       314        0          7          0.15
biomes              2065       5358       0          472        2.59
terrain             2052       3061       0          50         1.49
surface             2052       1199       0          23         0.58
air_carvers         2030       10978      2          92         5.41
fluid_carvers       2027       42         0          0          0.02
decoration          1792       144011     14         373        80.36
mob_spawns          1572       175        0          80         0.11
structure_searches  0          0          0          0          0.00
Sum                                                             91.86
