Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2248       4544       0          3279       2.02
structure_refs      310        105        0          10         0.34
biomes              310        710        0          371        2.29
terrain             310        1048       0          70         3.38
surface             310        411        0          33         1.33
air_carvers         310        2878       3          222        9.28
fluid_carvers       310        14         0          0          0.05
decoration          153        12001      40         250        78.44
mob_spawns          12         1          0          1          0.08
structure_searches  0          0          0          0          0.00
Sum                                                             97.21
