Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3454       5429       0          2640       1.57
structure_refs      1465       336        0          3          0.23
biomes              1465       4839       0          474        3.30
terrain             1464       2672       0          52         1.83
surface             1464       1185       0          120        0.81
air_carvers         1464       9333       2          195        6.38
fluid_carvers       1464       47         0          15         0.03
decoration          1280       132927     14         373        103.85
mob_spawns          1110       132        0          42         0.12
structure_searches  0          0          0          0          0.00
Sum                                                             118.11
