Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1135       3883       0          3661       3.42
structure_refs      122        49         0          2          0.40
biomes              122        68         0          39         0.56
terrain             122        330        0          49         2.70
surface             122        246        0          29         2.02
air_carvers         122        1358       4          115        11.13
fluid_carvers       122        11         0          1          0.09
decoration          55         6046       60         418        109.93
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             130.25
