Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2216       2894       0          2403       1.31
structure_refs      817        115        0          1          0.14
biomes              817        2673       0          460        3.27
terrain             817        833        0          6          1.02
surface             817        350        0          4          0.43
air_carvers         817        4466       2          32         5.47
fluid_carvers       817        11         0          0          0.01
decoration          689        36400      13         114        52.83
mob_spawns          578        29         0          4          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             64.53
