Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    365        2905       0          2679       7.96
structure_refs      48         7          0          0          0.15
biomes              48         8          0          0          0.17
terrain             48         88         0          2          1.83
surface             48         32         0          1          0.67
air_carvers         48         292        3          22         6.08
fluid_carvers       48         1          0          0          0.02
decoration          23         2861       90         161        124.39
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             141.27
