Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5365       6741       0          3328       1.26
structure_refs      1998       447        0          5          0.22
biomes              1998       6873       0          720        3.44
terrain             1997       2900       0          49         1.45
surface             1997       1272       0          35         0.64
air_carvers         1997       26288      9          312        13.16
fluid_carvers       1997       48         0          0          0.02
decoration          1676       159061     39         280        94.91
mob_spawns          1393       158        0          20         0.11
structure_searches  0          0          0          0          0.00
Sum                                                             115.22
