Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1103       3232       0          3034       2.93
structure_refs      123        68         0          14         0.55
biomes              123        27         0          4          0.22
terrain             123        299        0          33         2.43
surface             123        175        0          17         1.42
air_carvers         123        1172       4          100        9.53
fluid_carvers       123        11         0          1          0.09
decoration          56         6269       65         372        111.95
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             129.12
