Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2080       6887       0          3637       3.31
structure_refs      856        625        0          324        0.73
biomes              856        554        0          287        0.65
terrain             856        1329       0          40         1.55
surface             856        603        0          21         0.70
air_carvers         856        5294       3          149        6.18
fluid_carvers       856        31         0          0          0.04
decoration          716        48051      40         358        67.11
mob_spawns          573        41         0          8          0.07
structure_searches  0          0          0          0          0.00
Sum                                                             80.35
