Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2053       3036       0          2722       1.48
structure_refs      391        80         0          0          0.20
biomes              391        2598       0          275        6.64
terrain             391        488        0          2          1.25
surface             391        225        0          10         0.58
air_carvers         391        2316       2          33         5.92
fluid_carvers       391        5          0          0          0.01
decoration          255        23515      12         300        92.22
mob_spawns          135        8          0          1          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             108.36
