Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    439        4249       0          4116       9.68
structure_refs      66         39         0          2          0.59
biomes              66         330        0          310        5.00
terrain             66         281        0          44         4.26
surface             66         204        0          27         3.09
air_carvers         66         887        5          147        13.44
fluid_carvers       66         7          0          0          0.11
decoration          30         4596       68         387        153.20
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             189.36
