Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1873       4190       0          2446       2.24
structure_refs      729        141        0          1          0.19
biomes              729        49         0          7          0.07
terrain             729        869        0          60         1.19
surface             729        367        0          4          0.50
air_carvers         729        3606       3          26         4.95
fluid_carvers       729        12         0          0          0.02
decoration          625        44878      54         157        71.80
mob_spawns          529        98         0          17         0.19
structure_searches  0          0          0          0          0.00
Sum                                                             81.15
