Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1873       5231       0          3000       2.79
structure_refs      729        139        0          1          0.19
biomes              729        391        0          341        0.54
terrain             729        1252       0          38         1.72
surface             729        561        0          25         0.77
air_carvers         729        7047       6          107        9.67
fluid_carvers       729        20         0          0          0.03
decoration          625        50295      37         341        80.47
mob_spawns          529        94         0          34         0.18
structure_searches  0          0          0          0          0.00
Sum                                                             96.35
