Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2260       4762       0          3022       2.11
structure_refs      1146       252        0          6          0.22
biomes              1145       1924       0          254        1.68
terrain             1145       1923       0          44         1.68
surface             1145       812        0          41         0.71
air_carvers         1145       7427       3          328        6.49
fluid_carvers       1144       193        0          157        0.17
decoration          982        87427      57         299        89.03
mob_spawns          827        61         0          12         0.07
structure_searches  0          0          0          0          0.00
Sum                                                             102.15
