Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    4430       4212       0          2400       0.95
structure_refs      1765       342        0          8          0.19
biomes              1765       1630       0          247        0.92
terrain             1765       2917       0          74         1.65
surface             1764       1060       0          7          0.60
air_carvers         1764       23719      9          137        13.45
fluid_carvers       1762       25         0          0          0.01
decoration          1474       165111     56         325        112.02
mob_spawns          1197       47         0          12         0.04
structure_searches  0          0          0          0          0.00
Sum                                                             129.84
