Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1873       4518       0          2554       2.41
structure_refs      729        148        0          0          0.20
biomes              729        112        0          75         0.15
terrain             729        1446       1          10         1.98
surface             729        663        0          4          0.91
air_carvers         729        7686       8          40         10.54
fluid_carvers       729        6          0          0          0.01
decoration          625        55828      43         168        89.32
mob_spawns          529        29         0          3          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             105.59
