Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3652       0          3404       7.75
structure_refs      69         87         0          35         1.26
biomes              69         311        0          293        4.51
terrain             69         189        0          30         2.74
surface             69         95         0          23         1.38
air_carvers         69         989        9          96         14.33
fluid_carvers       69         5          0          0          0.07
decoration          33         3294       59         326        99.82
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             131.86
