Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1394       2452       0          2115       1.76
structure_refs      154        38         0          1          0.25
biomes              154        419        0          188        2.72
terrain             154        168        0          17         1.09
surface             154        90         0          9          0.58
air_carvers         154        2622       11         89         17.03
fluid_carvers       154        7          0          0          0.05
decoration          71         3852       36         162        54.25
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             77.73
