Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1320       3314       0          2457       2.51
structure_refs      200        43         0          0          0.22
biomes              200        12         0          0          0.06
terrain             200        250        0          4          1.25
surface             200        106        0          5          0.53
air_carvers         200        2157       8          37         10.79
fluid_carvers       200        3          0          0          0.02
decoration          96         10232      36         211        106.58
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             121.95
