Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1147       3623       0          3419       3.16
structure_refs      190        73         0          17         0.38
biomes              190        1388       0          584        7.31
terrain             190        758        0          59         3.99
surface             190        345        0          71         1.82
air_carvers         190        1787       2          183        9.41
fluid_carvers       190        9          0          0          0.05
decoration          86         9243       47         287        107.48
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             133.58
