Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3126       0          2751       1.69
structure_refs      729        112        0          4          0.15
biomes              729        383        0          348        0.53
terrain             729        934        0          28         1.28
surface             729        444        0          19         0.61
air_carvers         729        3755       2          94         5.15
fluid_carvers       729        17         0          0          0.02
decoration          625        27142      8          245        43.43
mob_spawns          529        157        0          90         0.30
structure_searches  0          0          0          0          0.00
Sum                                                             53.16
