Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1043       3561       0          3242       3.41
structure_refs      148        52         0          4          0.35
biomes              148        221        0          203        1.49
terrain             148        431        0          134        2.91
surface             148        245        0          33         1.66
air_carvers         148        2265       8          305        15.30
fluid_carvers       148        9          0          0          0.06
decoration          70         5981       44         252        85.44
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             110.63
