Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3672       2776       0          2506       0.76
structure_refs      966        173        0          0          0.18
biomes              966        2724       0          372        2.82
terrain             966        2136       1          89         2.21
surface             966        662        0          4          0.69
air_carvers         966        9515       2          91         9.85
fluid_carvers       966        16         0          0          0.02
decoration          733        70968      13         307        96.82
mob_spawns          525        20         0          1          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             113.37
