Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2407       5900       0          3223       2.45
structure_refs      619        126        0          6          0.20
biomes              618        2166       0          374        3.50
terrain             618        1166       0          51         1.89
surface             618        501        0          37         0.81
air_carvers         618        4159       2          171        6.73
fluid_carvers       618        24         0          0          0.04
decoration          465        60917      11         272        131.00
mob_spawns          321        18         0          1          0.06
structure_searches  0          0          0          0          0.00
Sum                                                             146.69
