Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5100       6845       0          2801       1.34
structure_refs      2207       401        0          7          0.18
biomes              2207       3426       0          457        1.55
terrain             2206       3377       0          20         1.53
surface             2177       1337       0          19         0.61
air_carvers         2177       16220      2          104        7.45
fluid_carvers       2176       42         0          0          0.02
decoration          1891       197846     28         473        104.63
mob_spawns          1620       138        0          17         0.09
structure_searches  0          0          0          0          0.00
Sum                                                             117.40
