Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1043       3237       0          3147       3.10
structure_refs      148        27         0          0          0.18
biomes              148        160        0          154        1.08
terrain             148        283        1          3          1.91
surface             148        193        0          30         1.30
air_carvers         148        1760       8          52         11.89
fluid_carvers       148        1          0          0          0.01
decoration          70         5144       44         137        73.49
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             92.97
