Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3121       0          3058       6.63
structure_refs      69         14         0          0          0.20
biomes              69         178        0          167        2.58
terrain             69         87         0          2          1.26
surface             69         32         0          0          0.46
air_carvers         69         735        8          30         10.65
fluid_carvers       69         3          0          0          0.04
decoration          33         2879       56         121        87.24
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             109.07
