Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1368       2945       0          2551       2.15
structure_refs      214        43         0          1          0.20
biomes              214        1325       0          357        6.19
terrain             214        342        0          5          1.60
surface             214        201        0          28         0.94
air_carvers         214        2000       4          51         9.35
fluid_carvers       214        7          0          0          0.03
decoration          116        9404       23         201        81.07
mob_spawns          28         0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             101.53
