Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1875       6798       0          3104       3.63
structure_refs      729        120        0          9          0.16
biomes              729        636        0          599        0.87
terrain             729        1008       0          20         1.38
surface             729        416        0          16         0.57
air_carvers         729        3781       2          91         5.19
fluid_carvers       729        21         0          1          0.03
decoration          625        36184      10         211        57.89
mob_spawns          529        168        0          67         0.32
structure_searches  0          0          0          0          0.00
Sum                                                             70.04
