Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3997       0          2624       2.16
structure_refs      729        166        0          7          0.23
biomes              729        278        0          223        0.38
terrain             729        893        0          22         1.22
surface             729        426        0          11         0.58
air_carvers         729        7506       7          85         10.30
fluid_carvers       729        20         0          0          0.03
decoration          625        64678      35         254        103.48
mob_spawns          529        180        0          81         0.34
structure_searches  0          0          0          0          0.00
Sum                                                             118.73
