Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    9195       9288       0          3148       1.01
structure_refs      4358       902        0          17         0.21
biomes              4358       5780       0          363        1.33
terrain             4356       6738       0          106        1.55
surface             4355       2907       0          20         0.67
air_carvers         4353       33656      2          96         7.73
fluid_carvers       4351       88         0          9          0.02
decoration          3841       402305     21         506        104.74
mob_spawns          3356       226        0          19         0.07
structure_searches  1          17         17         17         17.00
Sum                                                             134.32
