Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2068       5612       0          3208       2.71
structure_refs      520        129        0          11         0.25
biomes              520        3246       0          361        6.24
terrain             520        997        0          60         1.92
surface             519        440        0          51         0.85
air_carvers         519        6962       9          289        13.41
fluid_carvers       520        19         0          0          0.04
decoration          366        37634      33         396        102.83
mob_spawns          227        39         0          22         0.17
structure_searches  0          0          0          0          0.00
Sum                                                             128.42
