Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    10124      5749       0          3242       0.57
structure_refs      6664       1241       0          31         0.19
biomes              6650       19532      0          395        2.94
terrain             6650       8972       0          46         1.35
surface             6650       3536       0          10         0.53
air_carvers         6650       55837      2          111        8.40
fluid_carvers       6650       106        0          1          0.02
decoration          6221       491732     28         399        79.04
mob_spawns          5782       227        0          5          0.04
structure_searches  0          0          0          0          0.00
Sum                                                             93.07
