Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3155       0          2720       1.71
structure_refs      729        138        0          1          0.19
biomes              729        336        0          298        0.46
terrain             729        1034       0          23         1.42
surface             729        444        0          16         0.61
air_carvers         729        3116       1          90         4.27
fluid_carvers       729        16         0          0          0.02
decoration          625        33533      9          265        53.65
mob_spawns          529        142        0          57         0.27
structure_searches  0          0          0          0          0.00
Sum                                                             62.60
