Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3523       0          3342       7.48
structure_refs      69         34         0          3          0.49
biomes              69         305        0          244        4.42
terrain             69         263        0          41         3.81
surface             69         155        0          35         2.25
air_carvers         69         1128       9          124        16.35
fluid_carvers       69         5          0          0          0.07
decoration          33         3247       63         230        98.39
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             133.27
