Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3650       0          3482       7.75
structure_refs      69         62         0          17         0.90
biomes              69         353        0          339        5.12
terrain             69         179        0          40         2.59
surface             69         103        0          25         1.49
air_carvers         69         1100       8          143        15.94
fluid_carvers       69         6          0          0          0.09
decoration          33         3438       55         314        104.18
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             138.06
