Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5123       6744       0          2838       1.32
structure_refs      2200       483        0          17         0.22
biomes              2199       1502       0          265        0.68
terrain             2199       3518       0          31         1.60
surface             2196       1411       0          35         0.64
air_carvers         2196       27564      2          109        12.55
fluid_carvers       2194       42         0          0          0.02
decoration          1903       254286     36         353        133.62
mob_spawns          1626       184        0          27         0.11
structure_searches  0          0          0          0          0.00
Sum                                                             150.77
