Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3335       4446       0          3272       1.33
structure_refs      1044       221        0          5          0.21
biomes              1044       5962       0          370        5.71
terrain             1043       2117       0          78         2.03
surface             1043       1127       0          197        1.08
air_carvers         1043       7189       3          312        6.89
fluid_carvers       1043       33         0          0          0.03
decoration          802        66872      36         319        83.38
mob_spawns          572        59         0          20         0.10
structure_searches  0          0          0          0          0.00
Sum                                                             100.77
