Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1029       3772       0          3290       3.67
structure_refs      137        54         0          4          0.39
biomes              137        140        0          111        1.02
terrain             137        328        0          66         2.39
surface             137        228        0          71         1.66
air_carvers         137        1294       3          137        9.45
fluid_carvers       137        15         0          3          0.11
decoration          65         5011       27         322        77.09
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             95.79
