Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1201       4105       0          3579       3.42
structure_refs      303        93         0          2          0.31
biomes              303        1360       0          377        4.49
terrain             303        642        0          46         2.12
surface             303        287        0          18         0.95
air_carvers         303        4875       10         112        16.09
fluid_carvers       303        28         0          7          0.09
decoration          201        19957      61         361        99.29
mob_spawns          117        11         0          4          0.09
structure_searches  0          0          0          0          0.00
Sum                                                             126.84
