Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        2515       0          2481       5.34
structure_refs      69         18         0          1          0.26
biomes              69         313        0          303        4.54
terrain             69         86         0          7          1.25
surface             69         33         0          0          0.48
air_carvers         69         738        8          26         10.70
fluid_carvers       69         4          0          0          0.06
decoration          33         2773       57         122        84.03
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             106.65
