Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3196       2102       0          1553       0.66
structure_refs      1355       142        0          3          0.10
biomes              1355       1919       0          175        1.42
terrain             1355       1053       0          3          0.78
surface             1355       475        0          50         0.35
air_carvers         1354       12171      1          42         8.99
fluid_carvers       1352       11         0          0          0.01
decoration          1194       61236      33         157        51.29
mob_spawns          1052       30         0          5          0.03
structure_searches  0          0          0          0          0.00
Sum                                                             63.62
