Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1260       3653       0          3026       2.90
structure_refs      722        170        0          14         0.24
biomes              722        1358       0          520        1.88
terrain             722        1130       0          27         1.57
surface             722        517        0          22         0.72
air_carvers         722        14619      15         158        20.25
fluid_carvers       722        35         0          0          0.05
decoration          659        58435      40         338        88.67
mob_spawns          581        69         0          15         0.12
structure_searches  0          0          0          0          0.00
Sum                                                             116.38
