Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3527       0          3319       7.49
structure_refs      69         47         0          3          0.68
biomes              69         227        0          186        3.29
terrain             69         162        0          33         2.35
surface             69         104        0          12         1.51
air_carvers         69         941        8          97         13.64
fluid_carvers       69         4          0          0          0.06
decoration          33         3239       59         236        98.15
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             127.16
