Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1320       6278       0          3554       4.76
structure_refs      200        61         0          8          0.31
biomes              200        22         0          1          0.11
terrain             200        359        0          28         1.80
surface             200        200        0          19         1.00
air_carvers         200        1467       3          134        7.34
fluid_carvers       200        12         0          0          0.06
decoration          96         5590       12         203        58.23
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             73.59
