Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    3698       5384       0          2898       1.46
structure_refs      1197       273        0          37         0.23
biomes              1197       645        0          282        0.54
terrain             1197       1920       0          65         1.60
surface             1197       876        0          15         0.73
air_carvers         1196       6709       2          109        5.61
fluid_carvers       1195       27         0          2          0.02
decoration          993        77169      18         278        77.71
mob_spawns          815        173        0          44         0.21
structure_searches  0          0          0          0          0.00
Sum                                                             88.12
