Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3969       0          3749       8.43
structure_refs      69         71         0          24         1.03
biomes              69         289        0          263        4.19
terrain             69         214        0          39         3.10
surface             69         122        0          19         1.77
air_carvers         69         1006       8          102        14.58
fluid_carvers       69         4          0          0          0.06
decoration          33         3251       58         285        98.52
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             131.67
