Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    5673       6604       0          2771       1.16
structure_refs      2639       560        0          29         0.21
biomes              2637       3174       0          349        1.20
terrain             2636       5120       0          66         1.94
surface             2636       2026       0          47         0.77
air_carvers         2636       40656      3          163        15.42
fluid_carvers       2636       54         0          0          0.02
decoration          2329       266336     40         469        114.36
mob_spawns          2034       153        0          17         0.08
structure_searches  0          0          0          0          0.00
Sum                                                             135.17
