Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3686       0          3464       7.83
structure_refs      69         58         0          9          0.84
biomes              69         261        0          233        3.78
terrain             69         228        0          39         3.30
surface             69         151        0          17         2.19
air_carvers         69         1090       9          120        15.80
fluid_carvers       69         4          0          0          0.06
decoration          33         3529       56         346        106.94
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             140.74
