Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1626       3788       0          3276       2.33
structure_refs      301        80         0          3          0.27
biomes              301        2373       0          602        7.88
terrain             301        859        0          62         2.85
surface             301        491        0          43         1.63
air_carvers         301        2743       3          132        9.11
fluid_carvers       301        14         0          0          0.05
decoration          176        9364       28         271        53.20
mob_spawns          65         10         0          4          0.15
structure_searches  0          0          0          0          0.00
Sum                                                             77.48
