Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1888       5829       0          3057       3.09
structure_refs      540        106        0          4          0.20
biomes              541        3728       0          322        6.89
terrain             541        1095       0          162        2.02
surface             518        404        0          18         0.78
air_carvers         518        3137       2          150        6.06
fluid_carvers       518        21         0          0          0.04
decoration          370        27002      12         218        72.98
mob_spawns          237        11         0          3          0.05
structure_searches  0          0          0          0          0.00
Sum                                                             92.10
