Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3510       0          3340       7.45
structure_refs      69         75         0          20         1.09
biomes              69         221        0          173        3.20
terrain             69         189        0          50         2.74
surface             69         103        0          15         1.49
air_carvers         69         1008       8          98         14.61
fluid_carvers       69         6          0          0          0.09
decoration          33         3421       57         253        103.67
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             134.34
