Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1874       4549       0          2814       2.43
structure_refs      729        159        0          26         0.22
biomes              729        290        0          240        0.40
terrain             729        1281       0          44         1.76
surface             729        517        0          17         0.71
air_carvers         729        4310       3          124        5.91
fluid_carvers       729        17         0          0          0.02
decoration          625        49270      50         309        78.83
mob_spawns          529        129        0          50         0.24
structure_searches  0          0          0          0          0.00
Sum                                                             90.52
