Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    471        3754       0          3566       7.97
structure_refs      69         72         0          26         1.04
biomes              69         314        0          294        4.55
terrain             69         168        0          31         2.43
surface             69         95         0          11         1.38
air_carvers         69         996        8          105        14.43
fluid_carvers       69         5          0          0          0.07
decoration          33         3213       55         335        97.36
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             129.25
