Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    905        3568       0          3343       3.94
structure_refs      79         39         0          3          0.49
biomes              79         1306       0          795        16.53
terrain             79         393        1          48         4.97
surface             79         241        0          68         3.05
air_carvers         79         1432       5          267        18.13
fluid_carvers       79         6          0          0          0.08
decoration          35         4615       79         304        131.86
mob_spawns          0          0          0          0          0.00
structure_searches  0          0          0          0          0.00
Sum                                                             179.05
